epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.904,1.7793,4.31954,1.67819,0.38343,0.44326,0.36628,0.18283,1.6181,3.61121,1.53843,0.000174696,0.000174696,0.000174696
2,56.0537,1.72727,2.99918,1.60751,0.55108,0.50962,0.53418,0.26271,1.70968,3.07303,1.58035,0.000346564,0.000346564,0.000346564
3,79.8571,1.7036,2.57399,1.5965,0.57235,0.50668,0.54342,0.28807,1.70612,2.6854,1.58032,0.00051496,0.00051496,0.00051496
4,99.9463,1.68999,2.23297,1.56109,0.50756,0.57403,0.53839,0.29511,1.62516,2.16691,1.53469,0.000510378,0.000510378,0.000510378
5,124.72,1.62876,1.95329,1.50491,0.66034,0.61563,0.65578,0.36297,1.51291,1.80161,1.45398,0.00050517,0.00050517,0.00050517
6,149.525,1.59651,1.76853,1.48784,0.73421,0.58197,0.67196,0.36707,1.54243,1.66689,1.45981,0.000499963,0.000499963,0.000499963
7,175.133,1.57728,1.63825,1.46504,0.65936,0.66404,0.71137,0.40193,1.55455,1.47471,1.46316,0.000494756,0.000494756,0.000494756
8,199.54,1.55539,1.57421,1.45601,0.77514,0.6623,0.72068,0.41864,1.46901,1.49465,1.39689,0.000489548,0.000489548,0.000489548
9,225.265,1.54179,1.49534,1.43466,0.69269,0.64257,0.71669,0.42794,1.49262,1.39791,1.43224,0.000484341,0.000484341,0.000484341
10,250.851,1.49867,1.42104,1.40903,0.70755,0.66088,0.71417,0.41137,1.461,1.35807,1.41313,0.000479133,0.000479133,0.000479133
11,276.625,1.47543,1.36218,1.39635,0.78203,0.65341,0.75056,0.43715,1.49482,1.29319,1.42866,0.000473926,0.000473926,0.000473926
12,302.193,1.46462,1.34553,1.38972,0.70683,0.69879,0.7259,0.43319,1.4838,1.22969,1.42312,0.000468719,0.000468719,0.000468719
13,328.121,1.45412,1.32697,1.38869,0.76814,0.68059,0.75051,0.45197,1.3952,1.21184,1.36787,0.000463511,0.000463511,0.000463511
14,354.189,1.4127,1.24877,1.35954,0.6997,0.72918,0.74969,0.46425,1.40804,1.19815,1.36427,0.000458304,0.000458304,0.000458304
15,380.178,1.43878,1.24712,1.36506,0.82787,0.6889,0.76836,0.46457,1.39722,1.14601,1.34988,0.000453096,0.000453096,0.000453096
16,406.244,1.41783,1.20914,1.36235,0.76858,0.73213,0.79211,0.47973,1.40543,1.10641,1.3688,0.000447889,0.000447889,0.000447889
17,431.362,1.38167,1.14938,1.32693,0.75274,0.74134,0.7879,0.47936,1.41063,1.05599,1.37394,0.000442682,0.000442682,0.000442682
18,457.476,1.37925,1.14785,1.3284,0.86244,0.6707,0.79628,0.49314,1.39236,1.07345,1.36146,0.000437474,0.000437474,0.000437474
19,483.525,1.34735,1.10939,1.31495,0.79096,0.76412,0.80809,0.5024,1.35967,1.01938,1.34745,0.000432267,0.000432267,0.000432267
20,509.483,1.349,1.08316,1.30418,0.75301,0.73733,0.79199,0.49131,1.37098,1.04279,1.33914,0.000427059,0.000427059,0.000427059
21,535.209,1.34585,1.09304,1.30571,0.81561,0.77271,0.81668,0.49679,1.39616,0.97825,1.34993,0.000421852,0.000421852,0.000421852
22,561.333,1.31862,1.03689,1.28921,0.78589,0.72688,0.80141,0.50644,1.35904,1.01536,1.32061,0.000416645,0.000416645,0.000416645
23,587.194,1.30425,1.03253,1.28502,0.82263,0.74685,0.80121,0.50666,1.34538,0.99789,1.31779,0.000411437,0.000411437,0.000411437
24,613.424,1.30165,1.02304,1.28035,0.83604,0.7468,0.83367,0.53401,1.34473,0.93395,1.32545,0.00040623,0.00040623,0.00040623
25,639.284,1.30191,1.02384,1.27907,0.83465,0.74465,0.80601,0.50222,1.36982,0.96561,1.38043,0.000401022,0.000401022,0.000401022
26,665.682,1.27836,0.98822,1.26354,0.86443,0.71383,0.82191,0.52811,1.3516,0.94409,1.33796,0.000395815,0.000395815,0.000395815
27,691.499,1.27288,0.98412,1.25953,0.87017,0.74544,0.83189,0.52252,1.31739,0.9156,1.31246,0.000390608,0.000390608,0.000390608
28,717.272,1.26067,0.96315,1.25571,0.76928,0.76359,0.79798,0.51113,1.32673,0.94863,1.31518,0.0003854,0.0003854,0.0003854
29,743.434,1.24244,0.9427,1.24228,0.84442,0.75762,0.82984,0.5421,1.27443,0.9032,1.2872,0.000380193,0.000380193,0.000380193
30,769.166,1.23824,0.94049,1.23574,0.83723,0.75052,0.8226,0.5205,1.36235,0.93541,1.32862,0.000374985,0.000374985,0.000374985
31,792.698,1.22397,0.9254,1.23807,0.83479,0.74228,0.813,0.5088,1.36354,0.92133,1.37113,0.000369778,0.000369778,0.000369778
32,815.74,1.22603,0.92387,1.23217,0.84725,0.77242,0.83265,0.51805,1.37499,0.93526,1.33705,0.000364571,0.000364571,0.000364571
33,839.946,1.22221,0.90582,1.22796,0.82581,0.73835,0.80339,0.50532,1.35453,0.97441,1.33792,0.000359363,0.000359363,0.000359363
34,865.073,1.20259,0.8893,1.22174,0.87213,0.7455,0.8308,0.53118,1.32551,0.90682,1.33684,0.000354156,0.000354156,0.000354156
35,890.159,1.19563,0.88561,1.21284,0.84195,0.78498,0.83009,0.51836,1.36821,0.93159,1.35551,0.000348948,0.000348948,0.000348948
